wandb_name,lr,num_samples,num_steps,n_epochs,batch_size,num_neuron_subtypes,fc_dim,out_channels,neuron_type_nonlinearity,inter_neuron_type_nonlinearity,inter_neuron_type_spatial_extents,init_weights,model_type,max_epochs,scheduler
jolly-wind-323,0.001,345600,20,400.0,512,[32 32],512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,,
glamorous-snow-333,0.001,345600,10,200.0,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,,
twilight-spaceship-341,0.001,345600,20,400.0,512,"[8, 4]",512,16,ReLU,Identity,"(5, 5)",none,1e1i1a,,
decent-valley-338,0.001,345600,10,400.0,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,,
gallant-bird-337,0.001,345600,10,400.0,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,,
jumping-lake-340,0.001,345600,20,400.0,512,"[16, 4]",512,16,ReLU,Identity,"(5, 5)",none,1e1i1a,,
sage-surf-336,0.001,345600,20,400.0,512,"[32, 8]",512,32,ReLU,Identity,"(3, 3)",none,1e1i1a,,
skilled-plant-344,0.001,345600,20,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1000.0,
toasty-oath-332,0.001,345600,20,400.0,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,,
happy-yogurt-339,0.001,345600,20,400.0,512,"[32, 8]",512,32,ReLU,ReLU,"(3, 3)",none,1e1i1a,,
efficient-night-345,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1000.0,
clean-feather-342,0.001,345600,10,400.0,512,"[8, 4]",512,16,ReLU,Identity,"(5, 5)",none,1e1i1a,,
lyric-armadillo-349,0.001,1000,10,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1000.0,
glowing-sunset-350,0.001,1000,10,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1000.0,
morning-salad-353,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,1200.0,
summer-smoke-352,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1000.0,
eager-disco-355,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,1200.0,
cosmic-forest-354,0.001,345600,20,,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,1200.0,
apricot-durian-360,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,Identity,"(5, 5)",none,1e1i1a,1200.0,
fine-sky-361,0.001,345600,10,,512,"[32, 8]",512,32,ReLU,ReLU,"(5, 5)",none,1e1i1a,1200.0,
crisp-meadow-403,0.005,345600,20,,512,"[8, 4]",512,8,ReLU,ReLU,"(5, 5)",none,1e1i1a,400.0,"{'name': 'OneCycleLR', 'kwargs': {'pct_start': 0.1, 'anneal_strategy': 'cos', 'div_factor': 25}}"
celestial-frost-412,0.001,345600,20,,512,"[8, 4]",512,8,ReLU,ReLU,"(5, 5)",none,1e1i1a,600.0,"{'name': 'OneCycleLR', 'kwargs': {'pct_start': 0.15, 'anneal_strategy': 'cos', 'div_factor': 10}}"
